INFO   | jvm 1    | 2013/11/04 00:04:11 | Exception type: java.lang.RuntimeException
INFO   | jvm 1    | 2013/11/04 00:04:11 | java.lang.RuntimeException: The update query returned false, an error might have occured.
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at mext.maou.v2.helpers.Database.asyncExecute(Database.java:37)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at mext.maou.v2.helpers.Users.giveRewards(Users.java:937)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at mext.maou.v2.ai.MonsterAI.die(MonsterAI.java:343)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at mext.maou.v2.requests.aqw.GetAction.process(GetAction.java:162)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at mext.maou.v2.EnteIsla.handleRequest(EnteIsla.java:189)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.processEvent(ExtensionHandler.java:535)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.run(ExtensionHandler.java:344)
INFO   | jvm 1    | 2013/11/04 00:04:11 | 	at java.lang.Thread.run(Thread.java:724)
INFO   | jvm 1    | 2013/11/04 00:04:13 | Exception type: java.lang.RuntimeException
INFO   | jvm 1    | 2013/11/04 00:04:13 | java.lang.RuntimeException: The update query returned false, an error might have occured.
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at mext.maou.v2.helpers.Database.asyncExecute(Database.java:37)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at mext.maou.v2.helpers.Users.giveRewards(Users.java:937)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at mext.maou.v2.ai.MonsterAI.die(MonsterAI.java:343)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at mext.maou.v2.requests.aqw.GetAction.process(GetAction.java:162)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at mext.maou.v2.EnteIsla.handleRequest(EnteIsla.java:189)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.processEvent(ExtensionHandler.java:535)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.run(ExtensionHandler.java:344)
INFO   | jvm 1    | 2013/11/04 00:04:13 | 	at java.lang.Thread.run(Thread.java:724)
INFO   | jvm 1    | 2013/11/04 00:06:10 | [ SEVERE ][ UserCommands.process ] >> Unknown command: mute params: [mute, 2, sephrotia]
INFO   | jvm 1    | 2013/11/04 00:06:24 | Exception type: java.lang.RuntimeException
INFO   | jvm 1    | 2013/11/04 00:06:24 | java.lang.RuntimeException: The update query returned false, an error might have occured.
INFO   | jvm 1    | 2013/11/04 00:06:24 | 	at mext.maou.v2.helpers.Database.asyncExecute(Database.java:37)
